,tweet
184,"“i haven’t worn a mask this whole time and i haven’t gotten covid”

congrats brenda, you’ve discovered herd immunity."
185,@rasizdraggin @BallsRuth @JackPosobiec You don’t understand how masks work with covid. They are not very good at ke… https://t.co/SfNRSevBxy
186,I saw an entire church letting out on Easter Sunday and no one had a mask on. And it was about a 100 or more people… https://t.co/AaRPSvMFYf
187,@IzzyCEros @gentoo_python @HatUncle @ssrugervaquero @NicoleArbour You may wonder why but I don’t. The reason is bec… https://t.co/PYIakwzSrI
188,"1 in 4 adults are vaccinated for covid

Still wear a mask though"
189,@mkibbe It's not about vaccination. It's about control. The covid-vaccine-zealots are virtue signalling their alleg… https://t.co/ojHBaMz0sb
190,@awasthis @ABPNews @ranjanmihir @satyendrarai5 @abhineetpradhan Sir don't mind but some of your colleagues not wear… https://t.co/ZTctUzNvkn
191,"COVID IS AN AIRBORNE VIRUS PPL 

KEEP WEARING YOUR DAMN MASK https://t.co/AGxg8ZakUH"
192,you know it’s hard to know this days who is positive or not in covid but it’s good to stay indoors that will give a… https://t.co/SWF62d7AjM
193,"@KAG45Patriot Yes urs racist comment about the illegal aliens, and where’s ur data proving mask wearers got covid"
194,@HawleysJadefav OMG @FoxNews .... my guns got Covid .... promise to pit a mask on them when I leave the house....
195,"My #Dreams Last Night

💭2,971 - Lego Sorting
🦠2,972 - No Mask Couch Lounge
💭2,973 - Art Relic Raiders
💭2,974 - Hiri… https://t.co/S50UxU0OsU"
196,"Johnson in a cafe in Truro today , no mask , this is a breach of covid rules! https://t.co/btJFdb9H1B"
197,"If covid isn't real, then why don't you go sit close and talk to someone positive with no mask? What's wrong, what are you scared of?"
198,No matter where you are or found your self make sure you are with your nose mask. To prevent our self from contacti… https://t.co/yw31rCe3zo
199,"Roll up your sleeve
Get vaccinated 
Continue to 
Wear a mask 
Social Distance 
We can make it to the end of this!… https://t.co/TgExqRyhpS"
200,"*cough* *cough* *sneeze* don’t worry it’s not covid🤠

Also I forgot my mask but it’s okay I’m gonna stand right nex… https://t.co/CTKDoE6vFP"
201,"@DMBahraich As on daily basis there is an increment of covid cases,
No body wear mask, no social distancing was in… https://t.co/qpg4IrqYuu"
202,"Let's STOP the virus! It is as simple as wearing a mask, maintaining 2 Gaj ki Doori, and washing your hands frequen… https://t.co/9AGkLIzaaa"
203,https://t.co/wJb6LYj2Z2 Nope #COVID
204,"The 2nd most imp thing to remember is, if u hd covid in past then pls pls avoid wearing mask. Let ur antibodies kee… https://t.co/gK22EXEdFY"
205,@diana4candor @haylo64 I don’t think I ever had covid. I’ve been basically quarantined &amp; wore a mask all along. How… https://t.co/CC3EDYOR2w
206,"So my new county is saying fuck anything Covid related, dropping mask mandates, dropping occupancy restrictions, an… https://t.co/dZ70JbewCy"
207,Covid hit us a year back and some of y'all still haven't figured out how to talk over the phone with your mask on l… https://t.co/LAfkos5kRL
208,"@Sundae_Gurl Shockingly she acted like a human !!!

https://t.co/V07zHUHCio"
209,@ndtv @narendramodi At-least in COVID conference plz wear mask as people are looking at you
210,"One of the saddest outcomes of the Covid panic is learned people refusing to admit when they were wrong.

Here we h… https://t.co/DKQC3sDge5"
